Sl No.,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,,,,,,,,,Rand,Sl.No,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,CustSegment,filter_$,,,,,,,
8119,2520-SGTTA,Female,NO,Yes,Yes,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Mailed check,20,1460,1,,,,,,,,,3016,1,3668-QPYBK,Male,NO,No,No,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,53.85,108.15,0,1,0,,,,,,,
8957,2923-ARZLG,Male,NO,Yes,Yes,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,Mailed check,19.7,1438.1,1,,,,,,,,,791,2,9237-HQITU,Female,NO,No,No,2,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.7,151.65,0,1,0,,,,,,,
4492,3115-CZMZD,Male,NO,No,Yes,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Mailed check,20.25,1478.25,1,,,,,,,,,3508,3,9305-CDSKC,Female,NO,No,No,8,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,99.65,820.5,1,2,0,,,,,,,
2747,9124-LHCJQ,Female,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Mailed check,85.45,85.45,0,,,,,,,,,9488,4,7892-POOKP,Female,NO,Yes,No,28,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,2,3,0,,,,,,,
876,7663-RGWBC,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,44.15,44.15,0,,,,,,,,,4486,5,0280-XJGEX,Male,NO,No,No,49,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,3,3,1,,,,,,,
679,0137-OCGAB,Female,NO,No,No,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber optic,Month-to-month,Mailed check,80.2,80.2,0,,,,,,,,,5682,6,4190-MFLUW,Female,NO,Yes,Yes,10,Yes,No,No,Yes,No,No,Yes,Yes,No,No,DSL,Month-to-month,Credit card (automatic),55.2,528.35,1,2,1,,,,,,,
456,7551-JOHTI,Female,NO,No,No,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.5,19.5,1,,,,,,,,,6542,7,8779-QRDMV,Male,YES,No,No,1,No,No phone service,Yes,Yes,No,No,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,39.65,39.65,2,1,0,,,,,,,
7196,8566-YPRGL,Female,NO,No,No,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.5,19.5,1,,,,,,,,,3521,8,1066-JKSGK,Male,NO,No,No,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,20.15,20.15,4,1,0,,,,,,,
1670,7493-TPUWZ,Male,NO,No,No,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber optic,Month-to-month,Electronic check,79.15,79.15,0,,,,,,,,,1174,9,6467-CHFZW,Male,NO,Yes,Yes,47,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,3,3,1,,,,,,,
77,6390-DSAZX,Female,NO,No,Yes,1,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,73.6,73.6,0,,,,,,,,,3631,10,8665-UTDHZ,Male,NO,Yes,Yes,1,No,No phone service,No,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,30.2,30.2,0,1,0,,,,,,,
